Runtimes (seconds)
k	runtime_seconds
2	65.513
3	112.277
4	105.512
5	110.163
6	108.801
7	113.468
8	111.176
9	109.458
10	109.316
11	107.897
12	108.682

Average distance to centroid
k	avg_distance
2	1.024520
3	0.981656
4	0.938152
5	0.893006
6	0.858193
7	0.798106
8	0.756767
9	0.726214
10	0.697245
11	0.675176
12	0.651296

Anomaly threshold and fraction
k	threshold	fraction_percent
2	16.386345	0.00
3	16.127876	0.00
42950880301	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	3	20.076497	0.25742	0.02121	0.045166

Top 25 outliers for k=5
point_id	source_file	prediction	distance	sensor_1	sensor_2	sensor_3
60130631298	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	2	37.366187	0.015717	0.37598	4.9414
60130631294	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	4	36.338559	0.0028992	-0.36285	4.928
60130580608	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	2	28.699733	0.046387	0.29297	4.9316
42950620136	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv	4	25.633547	0.32578	-0.042419	0.056152
60130580607	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	2	25.633294	0.050812	0.26337	4.9268
60130631306	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	2	24.031114	0.040436	0.24857	4.9304
42950620137	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv	4	23.487225	0.30136	-0.042725	0.053711
42950620135	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv	4	23.112704	0.29816	-0.033112	0.048828
60130631302	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	4	22.850825	-0.0028992	-0.23254	4.9304
60130995085	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_37.csv	2	22.596613	0.013733	0.23483	0.068359
42950982743	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	4	22.135700	0.28778	-0.016479	0.062256
60130631303	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	4	21.977537	0.0074768	-0.22537	4.9292
42950982742	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	4	20.719602	0.2713	-0.030212	0.057373
60130631299	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	2	20.604869	0.01297	0.21561	4.939
42950880300	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	4	20.567675	0.26794	0.0090027	0.043945
60130548035	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	2	20.398502	0.036316	0.21408	0.037842
